,occ_llm
1560,forste hofjagm
1373,spraklararinna
1229,hamnfogdeinsp.
1532,polisintendent
78,yrkesskoledir.
1287,forradsbokhall
71,rorledn.-entr.
1473,bankommissarie
1583,bataljons.-lak
110,undervisn.-rad
1571,1:ste postexp.
1416,regem.-intend.
1411,provinssiallak
1347,1:ste beridare
182,charkuteriutk.
187,tax.-assistent
178,forsaljn.-dir.
166,konsertpianist
1282,handelsattaché
1283,brygg.-forest.
1419,restaurangchef
748,filmjournalist
654,i Fredrikshald
410,verktygsfilare
1155,postofverkontr
416,olforsaljerska
332,korvforsaljare
231,reklamtecknare
1328,fabriksforest.
1487,landtbrukselev
1409,forsaljn.-chef
1441,handelsiidkare
1524,pens. poliskon
1475,sagverkskamrer
749,charkuteriidk.
742,krigshovr.-rad
708,forradsvaktare
1394,f.d. kommendor
1336,kontorsskrifv.
1235,bokbinderiarb.
1252,1:ste postktr.
1193,trafikchauffor
1196,stationsforest
1331,systemtekniker
304,taxeringskomm.
795,tysk undersate
1488,bruksinspektor
213,sparbanksinsp.
197,polisassessor.
240,konserthuschef
667,skeppssnickare
695,ofverskogvakt.
1440,ofverhofstall-
69,renhalln.-arb.
1424,trafikchefsass
109,godsarrendator
1369,uppb.-kommiss.
172,hovr.-assessor
525,befallningsman
1417,forste landtm.
1415,distr.-landtm.
1430,stenhuggeriidk
1562,begrafn.-entre
1315,reservlojtnant
1364,gaskontrollant
1198,f. d. mossmak.
1423,arrendebutiker
1557,kakelugnsm.-m.
1443,postkontrollor
1505,kammarrattsrad
1079,varvsverksarb.
1081,palsdjursuppf.
1088,pressverksarb.
263,ringarealderm.
1157,bildhuggarinna
420,forsakringsrad
1239,skogsinspektor
1216,ofverceremonim
30,pappersraknare
107,ofverpostiljon
7,hofr.-assessor
42,porterutkorare
104,byggn-snickare
379,hattmakeriarb.
1275,master of Arts
1255,handelsattache
1569,justitimbudsm.
1298,legationssekr.
1218,lagenhetsagare
1337,f. d. kallarm.
1201,kommendorkapt.
1311,mangleriidkare
1230,adj. hofr.-rad
302,domk.-organist
1190,v. komminister
1191,flottningschef
1221,kreaturshandl.
1256,1:e bibliotek.
262,materialkontr.
1263,lapptills.-man
1240,maskinfabrikor
1502,kamrer O. kons
1333,magistratssekr
1168,ofverkonstapel
1169,jarnvagslakare
35,restaurantag:a
385,lok.-reparator
306,hospitalspred.
382,falttygmastare
1338,teckningslarar
1538,prakt. lak.. -
1273,metodistpredik
1234,med. licentiat
155,kapptillskar:a
156,mobelfabrikant
1582,ofvergruffogde
1533,afdelningschet
1094,rederiinspekt.
1297,1:ste stadsfog
422,receptionschef
1245,forsakr.-agent
116,tradg.-mastare
95,konstvafverska
400,tapetserararb.
1222,sjomarish.-omb
1049,lansantikvarie
69,sjomanshustjm.
1260,metallfabrikor
1514,tobaksfabrikor
297,platslag.-mast
291,stadstradg.-m.
355,billardmeister
120,tel.-reparator
1203,riksb.-tj.-man
240,belysningsing.
139,fiskerjintend.
1259,stenhuggeriag.
1587,platslag.-anka
1172,komm.-kap- ten
1445,sparbanksvaktm
720,landtbr.-bitr.
1479,kaptenlojtnant
1105,kammarskrivare
1108,t. f. overlak.
1270,kommedorkapten
1271,pappershandl:a
1013,belysningsrep.
1065,jordbr.-intend
1289,assuranstj.-m.
1284,detektivkonst.
272,angfarjekapten
1185,"regem,-intend."
121,telegrafvaktm.
993,vattenrattsdom
69,flaggund.-off.
443,f. d. ryttmast
1478,fors.-tjanstem
175,automatforest.
108,halsovardsass.
1480,tulikontrollor
1177,reassuranschef
1272,renskrifverska
26,ateljeforest:a
1588,bergsbruksidk.
1299,lasarettskomm.
191,konditorihandl
659,parkettinlagg.
723,banvaktsforman
724,fastighetsnot.
699,sparvagnskond.
609,larov.-forest.
595,bensinforsalj.
670,overformyndare
887,byggnadsforman
958,akad.-kanslist
1186,ofverstelojtn.
1539,landsarkivarie
226,tryckeriforman
911,pensionatinneh
928,brodforsaljare
1250,banktjansteman
1196,bleckslagarem.
885,gummiv.-inneh.
851,vavskolerektor
916,overtills.-man
17,tortit.-kassor
150,handelsexpedit
828,syateljeinneh.
839,olstugeforest.
308,jordbrukskons.
1481,gransbev.-chef
290,metalltryckare
821,olstuguforest.
351,t. f. domhafv.
428,angsl.-befalh.
1159,distriktssekr.
1567,hamnuppsyn.-m.
1183,fabr.-arbetare
1236,borstb.-idkare
1165,las.-syssloman
1174,f.d. reseagent
1161,spagelfabrikor
1550,gasverksforman
1541,leg. veterinar
535,begr.-entrepr.
247,f. d. totograf
1202,dir. o. konsul
1432,militarattaché
481,forradsskrifv.
1214,stadsombudsman
1215,pantlaneidkare
1242,platsl.-idkare
1224,missionsforest
648,domkyrkovaktm.
1572,regem.-auditor
524,tradgardsmast.
520,stantionsinsp.
1231,bankofullmakt.
411,krim.-assessor
796,inspektorschef
769,ledstangsfabr.
672,vattenutkorare
253,kons.-amanuens
701,fastighetschef
702,byggnadssnick.
751,driftsinspekt.
758,husdjurskonsul
747,rikstelefonist
677,gymnastikinsp.
1187,distr.-forest.
1459,fastigh.-makl.
1162,spikhusforest.
532,f. d. kustvakt
1197,garveriforest.
16,besikt.-rustm.
317,bokforingschef
1491,landtrantmast.
1542,sulfit.-kassor
1175,1:t prov:-lak.
589,hovsl.-mastare
593,stiftsamanuens
477,flottn.-kamrer
1433,ofvermasklnist
1243,teckningslar:a
1225,verkstadsachef
1226,parkeringsvakt
1204,domanintendent
1205,afdelningsing.
1206,superfosfaabr.
1580,belysningschef
1334,1:ste landimat
1335,1:ste marinlak
1363,hypotekskassor
1233,hufvudkorresp.
800,forlikningsman
1448,kanslirádsanka
1534,spannmalshandl
1519,distriktsveter
1237,skorstenfejare
1551,f.d. legations
357,statskartograf
504,flaggfabrikant
1391,sjomansh.-omb.
1193,snickeriverkm.
1194,f. d. posttim.
1195,f. d. jarnarb.
11,underintendent
1212,bokkontrollant
1301,verkstadsinneh
475,forsakr.-ombud
1266,afdelningschef
1178,portrattmalare
427,byggnadskontr.
540,dovstumspastor
561,bilbesiktn.-m.
449,egendomshandl.
500,vattenfabrikor
1182,hotellvardinna
465,rullforingsbe-
1170,f. fangelsedir
426,sandtaktsinsp.
395,skeppningsing.
384,elektr.-montor
1566,yrkesinspektor
327,teatersnickare
1527,1:e prov.-lak.
1561,hattmakeriidk.
1528,byraassistent.
1449,chefsintendent
1483,f. haradshofd.
1536,ved- & kolhand
1506,militarattache
1546,handskfabrikor
1585,folkskoleinsp.
572,jarnvagspastor
573,e. profv.-lak.
468,polisupps.-man
1428,1:ste aktuarie
1484,bat.-veterinar
1501,riksbankskamr.
657,litt.-kritiker
303,speditionsarb.
493,hotellagarinna
554,fortik.-kassor
449,infant.-kapten
1176,general- agent
414,anskaffn.-chef
1531,missionslarare
1274,angb.-kommiss.
692,pappersmastare
409,h.-agaredotter
392,overlantmatare
1179,distriktlandtm
1526,lasarettlakare
338,fiskforsaljare
345,huvudbokforare
322,kassaskapssmed
1302,bokbindarmast.
372,forvaltn.-sekr
1254,snickeriidkare
1477,sparbanksbokh.
791,maskinofvering
286,skatteuppb.-m.
288,brevbararform.
1500,f. skraddarem.
1355,ofvermaskinist
1356,modehandlerska
159,utvandraragent
161,konfektyrhandl
282,fattigv.-kons.
1390,1:ste amanuens
1482,folksk.-forest
1378,charkuteriarb.
197,bilskoleinneh.
1426,landskontorist
1525,oversanglarare
352,riksb.-revisor
1420,bataljonsveter
678,stationsforman
1454,verkst.-kamrer
1489,magasinsforman
1492,mantalsskrifv.
1563,jarnkramhandl.
1152,liffors.-insp.
1577,telegrafforest
1540,besiktningsman
752,ledningsforman
1413,jarnvarukopman
1512,2:e stadsfogde
204,borstfabrikant
1381,jur. utr. kand
16,insp.konstapel
1517,metodistpastor
1446,landtbruksinsp
162,vattenrattsing
1509,ord. lararinna
1520,bat.-predikant
1510,brandinspektor
1269,trasliperiarb.
1581,operasangerska
1401,marinintendent
1508,understathall.
1173,ofverstelojin.
135,slojdkonsulent
142,uppbordskamrer
1435,garfveriidkare
1493,handelskam.-se
585,rakenskapschef
1495,restaurator O.
1547,reg.-veterinar
1471,forsakr.-insp.
1472,folkskolelarar
1406,ofverinspektor
74,hofratts- ass.
635,riksgaldskomm.
1429,protokollsekr.
196,dragaralderman
1400,hoftapetserare
1213,stadskamrerare
353,snormakerifabr
1434,kommunalkamrer
1452,handelstradgm.
21,elementarlar:a
1461,kommandorkapt.
38,konstrecensent
1382,kammarherrinde
1291,gasverkskamrer
1340,flaggmaskinist
1292,bryggeriidk...
157,transportinneh
1303,bryggeriidkare
1,e. O. hotr.-n.
1160,tryckerifaktor
54,kakelugnsfabr.
434,gen.-falttygm.
346,bergssprangare
1496,telegrafkommis
1464,blecksl.-mast.
1264,kopparslagarm.
1379,larov.-adjunkt
55,konditoriinneh
59,rullf.-befalh.
34,stadsskogvakt.
35,sjukhemsinneh.
1535,kassakontroll.
405,fangelseforest
215,brukstjanstem.
26,tyghantverkare
1,toffelfabrikor
373,sparvagskontr.
107,forhyrn.-agent
106,byggnadsritare
141,stenhugg.-idk.
452,butiksforest:a
217,f. d. dressare
123,litografverkm.
94,angkvarnsbokh.
83,underst.-fogde
87,e. Iandtmatare
75,konditoriagare
117,barnhemsforest
140,metallpressare
567,gardfarihandl.
1304,e. O. byratjm.
1306,bleckslagerim.
1164,handelsgartner
1375,lansjagmast. -
734,statshydrograf
1565,textilfabrikor
19,skogsafverkare
4,gummireparator
1238,skádespelerska
1554,filhuggarmast.
1555,viktualiehandl
1151,protokollsnot.
1211,handelsbitrade
1351,biografforest.
163,landstingsdir.
1286,bradgardsinsp.
1558,riksbanksfullm
123,kriminalkonst.
89,matareaflasare
1399,landtbrukskons
1366,bibliotekstjm.
1192,grosshandl. O.
1156,hustrus sterbh
1578,1:ste stadsing
185,sagbl.-riktare
99,maskintryckare
9,bogserskeppare
270,koppardrifvare
104,velocipedhandl
1516,forste revisor
1317,forsakringstji
1465,handelsidk: :a
102,fastighetsdir.
228,f. d. kommend.
203,f. d. Þandtbr.
210,sockerbr.-tjm.
1,modellsnickare
189,skolkoksforest
174,saluhallsinsp.
189,porslinshandl.
1521,kabinettssekr.
1309,fabriksassist.
1380,dratsellkamrer
1353,marinofverlak.
1398,kammarradsanka
1371,dir.-assistent
75,metallpolerare
112,miniatyrmalare
1327,vice charadsh.
1368,poliskonstapel
205,assuranskamrer
1280,musikkritiker.
1359,revisionssekr.
726,forradsforest.
12,buntmakeriarb.
1180,fangelselakare
1556,charkuterihand
1549,tryckeriinneh.
211,bevakn.-kontr.
1348,adi. hofr.-rad
122,chefsassistent
11,utstakningsing
1568,2:e bibliotek.
1285,hofskorstensf.
1361,justitieborgm.
318,akdonsfabrikor
302,fil. licentiat
298,e. O. assessor
257,folkh.-forest.
411,stationsskrif.
403,kom.-stamordf.
336,landtbr.-insp.
431,ofverkontroll.
432,kontr.-adjunkt
1437,kopparslagarem
119,bildhuggeriarb
1349,trafikinspekt.
48,grafveriverkm.
1325,extra lansnot.
1469,mur- o. byggm.
1439,museiintendent
490,verkst.-forman
1209,skolforestand.
46,jordbruksforv.
1412,revisionssekir
1450,borgmastarinna
1494,riksgaldfullm.
1268,sparbankssekr.
1293,kontraktsprost
189,ofverkonduktor
1490,slottsarkitekt
128,fangelsepastor
211,f. d. s.-agent
213,gasm.-aflasare
207,angtartygsbefh
251,riksgaldssekr.
244,slakterihandl.
1262,lands­kanslist
215,fabriksbokhall
241,utl. undersate
1300,marinofverdir.
71,stufveriforman
74,skatteexekutor
1199,riksantikvarie
1308,reg.-intendent
1339,stadstradgards
501,brukskontorist
505,slussinspektor
506,citterfabrikor
1586,kammarherrinna
41,halsovardskomm
1263,pens. bruksfor
1323,2:dre stadsfog
1296,konditoriidk:a
1518,snormakeridk:a
1310,ing. & fabriks
1370,fattigvardsdir
103,auktionsvaktm.
135,bevakn.-befalh
1332,utsk.-forest:a
1277,hofrattsfiskal
53,gasverksverkm.
1455,missionspastor
1316,assuransdirekt
166,sakerhetsinsp.
1227,angbatsbefalh.
1294,teknikansvarig
1295,3:e stadsfogde
1537,platsl.-verkm.
1584,tullofverinsp.
668,ofververkmast.
1485,cigarrfabrikor
1346,bibl.-amanuens
1210,forsakringstjm
1322,biljetorsalj:a
1249,komendorkapten
627,konsertsangare
493,stadsplanedir.
545,barnavardsdir.
1389,timmerhandlare
347,olhallsforest.
565,bruksintendent
400,pantbanksinneh
1318,afvittringssty
1290,kyrkogardsinsp
1276,Museiintendent
1257,verkst.-ledare
587,motorreparator
1313,pantbanksagare
1404,spannm.-handl.
1395,handelsforest.
1457,afdeln.-forest
1267,hotellforest:a
262,sjukvardsfurir
263,jur. utr. lic.
1352,musiklararinna
3,kvarnstensfabr
1377,lansbokhallare
248,grufforvaltare
280,bokhandelsbitr
1393,statskonsulent
500,utrikesrevisor
514,kortvaruhandl.
51,besiktn.-ing.
25,snickargesall
28,fangelsepred.
15,bergsl.-bokh.
17,bergslagstjm.
1,verkst.-agare
4,bokh.-bitrade
481,kontraktprost
133,byggnadsentr.
1747,kammarrattsre
1785,generalkonsul
1663,korrespondent
2040,hofblomsterh.
1597,bokbind.-idk.
1708,instr.-makare
788,skoterskeelev
200,ekonomikontr.
2006,1:ste tullkon
1599,landtbruksrad
44,kapellmastare
2086,fargeriidkare
1604,skradd.-tills
1832,gjuteriidkare
1858,generallojt.n
1633,specerihandI.
2021,egendomsforv.
1710,bryggeridisp.
1628,brandlojtnant
206,vik. sanglar.
1813,dofstumlarare
677,verkst.-bokh.
1696,byggnadsverkm
1827,jarnv.-kontr.
1759,fattigv.-dir.
1693,lanskontorist
1802,grosshandlare
669,sockenadjunkt
2136,fabrikorsanka
159,kallarforest.
144,silaktarbitr.
147,f. d. baming.
149,f. d. Etograf
136,stufvareform.
97,flaggtorpedm.
88,stat:onsbitr.
478,fabriksledare
173,ornamentssmed
63,nysilfverarb.
1605,fordelningsl.
2139,distr.-landtm
1626,tullofverinsp
1690,1:ste-stadsl.
1697,f.d. fabrikor
158,pantb.-inneh.
23,mobelsnickare
458,telefonmontor
1862,mobelfabrikor
1864,ofvestelojtn.
2045,folkskollar:a
2046,mobelarkitekt
2022,forfattarinna
664,violinbyggare
242,vagnfabrikant
257,forbundsordf.
1936,forsokr.-tjm.
346,kond.-forest.
331,filmgranskare
181,elementarlar.
2003,stadsingenjor
2026,skattetorpare
215,stadsomb.-man
195,forbundssekr.
1638,faltintendant
311,byggn.-matare
313,chefdekorator
1901,kont.-bitrade
298,off.-aspirant
1906,uppb.-kommiss
1945,utsk.-forest.
1930,protok.-sekr.
344,cementlaggare
1940,apot.-forest.
354,ornam.-bildh.
1956,mossfabrikant
1871,advokatfiskal
170,fangvardstjm.
1646,underlojtnant
2007,jordbruksarb.
176,kont.-forest.
190,brodutlamnare
2019,f. d. konserv
2010,auktionsmakl.
1808,platsl.-fabr.
415,hofr.-notarie
1925,justitieborgm
2013,verkstadschef
328,arbetsforest.
1962,marintend. af
1965,egendomsagare
1958,landtbruksing
434,reservbefalh.
1929,bageriforest.
421,rornatsforman
2051, skomak.-mast
1867,sagverksagare
2108,f. d. lokfor.
194,rorlaggarentr
1954,konsist.-not.
1991,forlikningsm.
1876,ofverstelojt.
1637,jarnvaruagent
1919,forsakr.-tjan
1977,kabinettskam-
2103,not. publicus
2024,expressinneh.
287,overpostiljon
1966,skraddarmast.
2033,riksbankssekr
1995,krigshofratts
740,verkst.-mast.
2054,lansskogvakt.
391,gen.-lotsdir.
422,organis.-chef
143,hamnofvering.
1987,lasarettslak.
1704,skeppsmakla-e
349,navig.-skoll.
2039,komm.-landtm.
1889,pappershandl.
1922,mejeriforest.
1899,stadsarkltekt
1943,violoncellist
373,griftegardsm.
278,raladerhand..
450,apotekarbitr.
1976,lojtn. och fr
1983,skolkokslar:a
1953,musikanmalare
1898,riksgaldsfull
471,marmorslipare
122,reseffektsarb
1915,byggnadsinsp.
639,automobilrep.
632,trafikflygare
1942,1:ste stads1.
2012,bergslagsbokh
1960,provins.-lak.
1872,tryckeriinneh
1944,automatinneh.
1903,ofverstelojin
411,velocipedfabr
1908,mur-O. byggm.
1935,telegrafbyggm
366,overkonsulent
478,stensatterim.
1964,1:ste revisor
513,elektr.-bitr.
515,larov.-lektor
504,sparv.-kontr.
460,skomakariidk.
620,riksbankvaktm
491,frimarkshandl
1900,hofstallmast.
1702,bataljonspred
1630,angb.-befalh.
9,borstb.-fabr.
1645,hamninspektor
1627,1:ste stadsl.
375,hovr.-notarie
1845,riksbankskomm
1955,skogsforvalt.
261,kappsommerska
1878,knappfabrikor
1921,vardshusidk:a
1920,prakt. lakare
299,angbatsforare
486,sybehorshandl
1980,musikdirektor
1939,handelsidk :a
399,beredn.-mast.
1703,angbatsredare
1988,musikfanjunk.
1982,haradshovding
317,domkyrkovaktm
1905,provinsiallak
1981,sjukskoterska
331,jarnv.-kassor
524,polisassessor
1894,blomsterhandl
1933,tonsattarinna
311,dofstumpastor
302,stenkolshandl
423,vagnmakeriidk
582,speciallarare
559,biografinneh.
618,reg.veterinar
1928,hofr.-radinna
1888,pastoratsadj.
554,lantbr.-insp.
505,tillsyn.-lar.
277,stadsexekutor
547,flygmekaniker
519,inskr.-domare
34,byggn.-snick.
593,konstkritiker
1970,gymnastiklar.
51,droskchauffor
719,e.o. assess r
1971,forsakr.-dir.
626,tradgardsark.
579,paraplymakare
1917,landtbr.-ing.
1885,banktjanstem.
1886,matspecialist
2002,postkontorist
2071,haradsskrifv.
499,tradgardsarr.
1721,handelskassor
39,antikv.-handl
1896,dratselkassor
48,chark.-utkor.
45,brygg.-inneh.
1613,telegr.-komm.
384,revisionschef
1946,uppbordsinsp.
1938,jarnvagsbokh.
1736,bibliotekarie
1840,understathall
1726,stat.-skrifv.
1831,tunnbindarem.
1857,fattigv.-insp
1924,2:dre brandl.
1914,travaruhandl.
1947,kungl. malare
1893,bryggeriagare
1974,mark.-forest.
1911,handl. starbh
1609,maskinmastare
1706,teaterforest.
1636,specerihand1.
6,orgelfabrikor
1819,adj. hofratts
175,bergsassessor
562,bilforsaljare
1691,gasverksform.
229,flaggskeppare
1926,fil. magister
213,tandlakarass.
1877,sjukhuslakare
2030,telegraf.-kom
2047,belysn.-entre
2066,homoopat. lak
2035,Generalkonsul
1670,bokforlaggare
682,statstopograf
611,ackordsmatare
492,filmuppkopare
1884,jordbr.-kons.
2088,postexpeditor
1847,slakt.-idkare
1709,affarsbitrade
1744,t.f. underlak
691,chefsarkitekt
89,tradgardsarb.
1852,generallojin.
1907,violincellist
486,domkyrkokomm.
1841,handelskemist
1868,appreturmast.
1861,skradderiidk.
1824,verkstadsing.
70,stadsplaneing
645,forradskamrer
1835,folkskollarar
1882,ofverste- loj
71,borsassistent
710,garageforest.
695,ladertekniker
1846,verkstadsbokh
1932,politieradman
238,kriminalkomm.
1624,boktr.-idkare
1806,usual support
1,godsexpeditor
1795,afd.-forest:a
99,prov.-resande
2171,folkskolelar.
2117,bankombudsman
1863,angbatsexped.
1912,kommunalordf:
1865,telegr.-insp.
2093,skolkoksinsp.
2083,uppbordskomm.
2087,kommunalordf.
30,stadskanslist
815,vafnadshandl.
79,disponentdir.
587,ofverbanmast.
18,bradg.-forman
1614,bankofullmakt
1601,liffors.-dir.
2154,materialforv.
222,statistikchef
248,fiskuppkopare
2105,fo!kskoleinsp
2166,forsak.-insp.
1838,segelmakarem.
1671,kopparslagare
1689,handelsidkare
414,slakteribitr.
1632,boktryckeriid
1776,spanmalhandl.
476,kons.-notarie
4,fastningslak.
1984,musikkritiker
260,pressfotograf
236,reseffektarb.
221,fastighetsdir
2060,dratselkamrer
1814,kassadirektor
15,ofverfaltint.
104,skeppstufvare
1850,distriktslak.
1973,skomanufaktur
2032,fastih.-agare
2158,stabsadjutant
2110,telegrafkomm.
1762,tullinspektor
145,butiksinneh:a
146,egendomsinsp.
259,gymnastikkons
14, f. d. dansos
1810,hattfabrikant
2084,prakt .lakare
2099,f. ofverjagm.
2068,bataljonsvet.
144,verkstadsdir.
469,hosp.-ofverl.
2020,1:ste landtm.
106,monsterritare
1883,charkut.-idk.
1722,landtm.-ausk.
91,reviderlasare
93,gjutareforman
1811,telegrafinsp.
157,betonggjutare
465,premiardansos
2056,stationsinsp.
316,stenh.-forman
2027,kammarmusikus
1610,andre stadsl.
1665,kammarskrifv.
272,kamrerassist.
343,spinneriform.
390,dispensarlak.
2082,prov.-lakare.
2000,forradsforman
1892,kommuninvalda
1651,major-general
2159,glasmosaikist
1608,riksbankskamr
1801,liffors.-insp
1786,gymnasiiombud
1694,fabriksidkare
1775,stampelkassor
1642,jarnv.-kamrer
546,h.-ag.-dotter
1724,landtbr.-elev
2079,hospitalslak.
2048,flottledsing.
2097,angf.-befalh.
378,stalverksing.
362,dynamithandl.
1760,dom.-sysslom.
2153,landtsingsman
2023,hotellvard ar
452,lasaretsslak.
462,skogsbokhall.
518,stationsbokh.
2125,spinneriagare
212,byggn.-forman
1641,utmatningsman
596,virkesuppkop.
1652,kustbev.-chef
1746,statsminister
1728,auktionskomm.
372,emissionschef
40,sjukvardselev
2100,lansveterinar
1595,handelsforest
400,stuveriforman
318,hamnuppb.-man
1772,hotellforest.
2127,1:e tullkontr
194,brandsergeant
1916,hotellinnehaf
610,tullvaktmast.
594,markententare
167,dovstumsprast
201,kaffeutkorare
1653,kontorsskrifv
2112,landstingsman
24,hushallsskola
380,fabrikskamrer
358,verktygsform.
414,symaskinsarb.
2098,sifferrevisor
2067,faltveterinar
320,linjeingenior
314,haktesforest.
2058,sagverksinsp.
1842,fralsningsoff
1816,batalionslak.
177,snickarforman
1809,lároverksadj.
1794,skeppsmataren
61,fondafd.-chef
2161,kontrollinsp.
2163,"adj.-ledamot,"
388,skradd.-mast.
459,kniffabrikant
1596,tryckeriagare
54,vafveriforman
426,lokomotiveld.
509,sjukstugulak.
553,poliskommiss.
1793,ex. prov.-lak
499,tullkontorist
467,ovningslarare
1687,sundhetsinsp.
1779,systemtestare
2123,gen.-lojtnant
2133,bryggeribokh.
2162,skeppsfourner
431,champagnemast
2150,projektledare
1729,skriftstall:a
1616,ofverfaltlak.
1647,varderingsman
1739,stadsaktuarie
447,brunnsborrare
457,transportarb.
434,overkonduktor
600,agenturinneh.
673,mosaikgjutare
651,fiskeriintend
531,smaskolelar:a
509,religionslar.
2151,e landtmatare
287,schaktmastare
1684,hand.-tradg.-
550,huvudredaktor
551,larov.-rektor
559,vedgardsinneh
2096,lasarettskomm
708,donationsfond
622,chark.-verkm.
615,hypot.-kamrer
618,slakthuskomm.
333,skobandsfabr.
335,orgelarbetare
536,svarvarforman
706,sparvagnsfor.
736,olhallinneh:a
579,tradg.-konsul
547,ovningsskoll.
549,plantskoleag.
1731,renh.-forest.
1700,sparbankstjm.
684,sagverksforv.
2102,hofr.-ledamot
2120,kontr.-prost.
2137,leksakshandl.
2168,sedeltryckare
1997,distr.-landim
2167,skomakaremast
2124,starbh.-delag
2141,kommissionsh.
1790,angbatskommis
1773,civilingenjor
793,byggnadsform.
761,sparvagskond.
763,folkskolekamr
1679,lotsinspektor
199,asylsyssloman
273,tradg.-arkit.
1737,ofverstelojtn
99,sparvagsinsp.
527,jordbr.-insp.
294,velocipedarb.
1674,laserettslak.
146,halsov.-polis
148,angkvarnsarb.
154,dofstumsprast
1669,laderfabrikor
2101,affarsforest.
1774,1:e prov.-lak
1791,metodistpred.
231,satterifaktor
1869,gen.-tulldir.
1870,grosshandl. &
1650,kakelugnsmak.
585,tryck.-verkm.
592,vagnsyningsm.
1890,fabr.-forest.
1923,fastighetsag.
1855,und.-lojtnant
2080,kallarmastare
2176,varfsingenjor
1880,kladsommerska
2164,kab.-kammarh.
156,e. brefbarare
1617,salteriidkare
38,byggn.-ritare
1655,emigrantagent
1789,konsulatsekr.
2122,regementsint.
227,korresp.-chef
805,olstuguinneh.
2109,tullkontrollr
1695,fordeln.-lak.
838,gevarshandtv.
1589,prakt. lak. m
1784,hofrattssekr.
2142,verkstadsidk.
2146,byraassis.ent
2059,kammarjunkare
2092,stadsbokhall.
2148,magasinsform.
1788,blecksl.-mast
2128,distriktsland
811,handelsrektor
812,borstbind.-m.
804,skyltfabrikor
552,gastgifverska
541,hushallsbitr.
1787,spannmalshand
1765,restrauratris
2064,liffors.-tjm.
1593,hypotekskassa
2134,hotellinneh:a
2131,ofverhofjagm.
917,svetsn.-mont.
909,revirforvalt.
1873,sedeltryckeri
44,angbatskapten
1764,pantaktiebank
1713,sjomanspastor
794,sagverksdisp.
2111,boskapshandl.
1618,regem.-pastor
823,brygg.-kassor
1649,tillsyningsm.
1851,1:ste postkon
84,museiamanuens
891,stat.-forman.
883,marmorhuggare
854,lansassistent
1115,tradgardselev
2028,tegelbruksag.
2011,distr.-kassor
2114,komm.-mjolkh.
2130,brygg.-kontr.
2095,krigsarkivare
307,arkivarieama-
2170,Iaroverksadj.
1730,badh.-forest.
1748,prakt. tandl.
855,exekutivbetj.
861,verkst.-form.
842,gardfarihandl
1057,folkhogskoll.
1023,cykelforsalj.
1027,automibilrep.
2091,1:e landtmat.
1815,skeppsmaklare
1635,off.-volontar
1664,riksarkivarie
23,fabr.-skrifv.
926,kraftverksdir
985,turistintend.
972,bokhandlerska
236,riksbanksnot.
1648,skorstensfej.
984,skohandlerska
1075,borstfabrikor
1056,tegelfabrikor
1714,egendomsmakl.
1619,kammarforvant
1658,1:ste postktr
40,trikastickare
1117,livbatsbefalh
913,bankrev.-chef
953,chefsinspekt.
956,akad.-stallm.
1782,forsakr.-tjm.
1698,gen.-postdir.
1705,veterinardir.
1685,bankkassorska
1686,lagerbokhall.
264,t. f. domhaf.
242,folkhogskolel
279,ofv.-bibliot.
1879,platsl.-idk:a
2090,Bataljonslak.
2169,byggn.-verkm.
1978,reservauditor
1678,konstnarsanka
1119,vagentrepren.
1129,hospitalbokh.
1182,pensionatsag.
25,byggn.-ledare
2129,sadelmakarin.
2157,kammarrattsr.
2143,laroverksadi.
1712,balettmastare
1683,bataljonslak.
1800,1:ste hofmars
99,stadsvaktkarl
1621,distr.-lakare
1797,riksbanksdir.
534,jarnverksing.
2172,handskfabrik.
2160,guldsmedsarb.
2044,akademirantm.
1968,marinofverkom
807,fabriksforman
1735,hyrverksagare
1752,jarnkramhandl
2126,tillskarerska
977,arkivamanuens
1004,charkuteriidk
1654,dekor.-malare
147,forsakr.-chef
2050,platslagarem.
2147,2:e stadslak.
1743,hospitalsyssl
1887,lagerforvalt.
1602,1:e marinlak.
1733,d. murareform
2173,teckningslar.
1673,manufakturh:a
2075,forsaljare O.
2008,byraassistent
1961,regementslak.
2081,statsrad m. m
1937,kammartjanare
1853,ofverkammarh.
1734,1 :ste vaktm.
2078,jarnsvarfvare
106,skomakeriidk.
1,pianosnickare
1833,akademikamrer
1866,specerihandl.
1319,formanstagare
1277,sparv.-forman
1719,1:e landimat.
100,kommerzienrat
104,f. d. garvare
1160,overvalsmast.
1169,martinmastare
1829,ofverstlojtn.
1656,kreaturshandl
2165,stat.-forest.
2077,dekorationsm.
812,e. prov.-Iak.
2063,snickerifabr.
1969,telegrafkontr
93,bergsskolelar
1329,overgruvfogde
738,forradskontr.
33,postassistent
1275,magasinsdrang
1383,bryggerifabr.
1998,f. tratikchef
1643,angslupsbefal
1941,gjuteriarbet.
1992,1:ste landim.
2065,landshofvding
254,gjuteriforman
1667,maskinsattare
1913,marinofverint
1897,justitieradm.
1891,1:ste notarie
5,e. 0. assess.
7,bradgardsarb.
619,hustjanarinna
621,herr i Lubeck
1,riksbanksrev.
1818,riksb.-kamrer
1741,musiksergeant
491,operakapellm.
2113,stadsarkitekt
2016,faltintendent
2076,bankinspektor
1994,bleckslagarm.
87,velocipedrep.
1918,fastigh.-makl
1837,f. underlojtn
779,timmermarkare
