parish,county
Nya Varberg,Hallands
Nya Varvet,Västra Götalands
Nybro,Kalmar
Nybro kbfd,Kalmar
Nydala,Jönköpings
Nye,Jönköpings
Nyed,Värmlands
Nyhem,Jämtlands
Ny-Huggenäs,Värmlands
Nykil,Östergötlands
Nyköpings Alla Helgona,Södermanlands
Nyköpings Helgona,Södermanlands
Nyköpings Sankt Nicolai,Södermanlands
Nykyrka,Skaraborgs
Nykyrka,Södermanlands
Nykyrke,Skaraborgs
Nylöse,Västra Götalands
Nylöse kbfd,Västra Götalands
Nymö,Kristianstads
Nynäshamn,Stockholms
Nysätra,Västerbottens
Nysätra,Uppsala
Nyskoga,Värmlands
Nysund,Örebro
Ockelbo,Gävleborgs
Öckerö,Västra Götalands
Od,Älvsborgs
Odarslöv,Skåne
Ödeborg,Älvsborgs
Ödeby,Örebro
Ödenäs,Älvsborgs
Odensåker,Skaraborgs
Odensala,Stockholms
Odensjö,Kronobergs
Odensvi,Västmanlands
Odensvi,Kalmar
Oderljunga,Kristianstads
Ödeshög,Östergötlands
Ödestugu,Jönköpings
Ödskölt,Älvsborgs
Ödsmål,Västra Götalands
Offerdal,Jämtlands
Offerdals kbfd,Jämtlands
Öggestorp,Jönköpings
Öglunda,Skaraborgs
Öja,Skåne
Öja,Södermanlands
Öja,Kronobergs
Öja,Gotlands
Öjaby,Kronobergs
Ökna,Jönköpings
Oknö,Södermanlands
Okome,Hallands
Ölanda,Skaraborgs
Öljehult,Blekinge
Ölme,Värmlands
Ölmevalla,Hallands
Olofströms kbfd,Blekinge
Ölserud,Värmlands
Ölsremma,Älvsborgs
Olunda,Skaraborgs
Öm,Skaraborgs
Önnarp,Skåne
Önnestad,Kristianstads
Onsala,Hallands
Onslunda,Kristianstads
Önum,Skaraborgs
Oppeby,Östergötlands
Oppmanna,Kristianstads
Ör,Älvsborgs
Ör,Kronobergs
Öra,Älvsborgs
Örberga,Östergötlands
Örby,Älvsborgs
Örby kbfd,Älvsborgs
Ore,Dalarnas
Örebro Nikolai,Örebro
Örebro Olaus Petri,Örebro
Öregrund,Uppsala
Öreryd,Jönköpings
Örgryte,Västra Götalands
Örja,Skåne
Örkelljunga,Kristianstads
Örkened,Kristianstads
Orkesta,Stockholms
Orleka,Skaraborgs
Orlunda,Östergötlands
Ormesberga,Kronobergs
Örnäset,Norrbottens
Ornö,Stockholms
Örnsköldsvik,Västernorrlands
Ornunga,Älvsborgs
Orsa,Dalarnas
Örsås,Älvsborgs
Orsa utom Skattunge,Dalarnas
Örsjö,Skåne
Örsjö,Kalmar
Örslösa,Skaraborgs
Örtofta,Skåne
Örtomta,Östergötlands
Örträsk,Västerbottens
Osby,Kristianstads
Oscar,Älvsborgs
Oscar,Stockholms
Oscar I,Stockholms
Oskar,Kalmar
Oskarshamn,Kalmar
Oskarshamns mosaiska,Kalmar
Oskarström,Hallands
Öslöv,Skåne
Ösmo,Stockholms
Össeby-Garn,Stockholms
Össjö,Kristianstads
Östad,Älvsborgs
Östanå,Älvsborgs
Östby,Skaraborgs
Österåker,Stockholms
Österåker,Södermanlands
Österbitterna,Skaraborgs
Österby bruksförsamling,Uppsala
Österfärnebo,Gävleborgs
Östergarn,Gotlands
Österhaninge,Stockholms
Österhaninge norra kbfd,Stockholms
Österhaninge södra kbfd,Stockholms
Österlövsta,Uppsala
Österplana,Skaraborgs
Österslöv,Kristianstads
Östersund,Jämtlands
Östertälje,Stockholms
Österunda,Uppsala
Östervåla,Västmanlands
Östervallskog,Värmlands
Östgöta trängkår,Jönköpings
Östhammar,Uppsala
Östmark,Värmlands
Östra Ämtervik,Värmlands
Östra Aros,Uppsala
Östra Broby,Kristianstads
Östraby,Skåne
Östra Ed,Östergötlands
Östra Fågelvik,Värmlands
Östra Frölunda,Älvsborgs
Östra Gerum,Skaraborgs
Östra Grevie,Skåne
Östra Harg,Östergötlands
Östra Herrestad,Kristianstads
Östra Hoby,Kristianstads
Östra Husby,Östergötlands
Östra Ingelstad,Kristianstads
Östra Karaby,Skåne
Östra Kärrstorp,Skåne
Östra Karup,Kristianstads
Östra Klagstorp,Skåne
Östra Ljungby,Kristianstads
Östra Nöbbelöv,Kristianstads
Östra Ny,Östergötlands
Östra Ryd,Stockholms
Östra Ryd,Östergötlands
Östra Sallerup,Skåne
Östra Skrukeby,Östergötlands
Östra Sönnarslöv,Kristianstads
Östra Stenby,Östergötlands
Östra Strö,Skåne
Östra Tollstad,Östergötlands
Östra Tommarp,Kristianstads
Östra Torp,Skåne
Östra Torsås,Kronobergs
Östra Tunhem,Skaraborgs
Östra Vemmenhög,Skåne
ÖstraVemmerlöv,Kristianstads
Östra Vingåker,Södermanlands
Östra Vram,Kristianstads
Östuna,Uppsala
Othem,Gotlands
Ottarp,Skåne
Otterstad,Skaraborgs
Ottravad,Skaraborgs
Öttum,Skaraborgs
Ova,Skaraborgs
Ovanåker,Gävleborgs
Ovansjö,Gävleborgs
Öved,Skåne
Överenhörna,Stockholms
Övergran,Uppsala
Överhogdal,Jämtlands
Överhölö,Stockholms
Överjärna,Stockholms
Överkalix,Norrbottens
Överkalix kbfd,Norrbottens
Överklintens kbfd,Västerbottens
Överlännäs,Västernorrlands
Överluleå,Norrbottens
Överluleå kbfd,Norrbottens
Överselö,Södermanlands
Överstelöjtnantens bataljon,Stockholms
Övertorneå,Norrbottens
Övertorneå kbfd,Norrbottens
Överum,Kalmar
Oviken,Jämtlands
Övraby,Kristianstads
Övraby,Hallands
Övre Ullerud,Värmlands
Öxabäck,Älvsborgs
Oxelösund,Södermanlands
Oxelösunds kbfd,Södermanlands
Oxie,Skåne
Öxnevalla,Älvsborgs
Pajala,Norrbottens
Pajala kbfd,Norrbottens
Partille,Västra Götalands
Partille kbfd,Västra Götalands
Påskallaviks kbfd,Kalmar
Pelarne,Kalmar
Persnäs,Kalmar
Perstorp,Kristianstads
Peter,Skåne
Peter,Skaraborgs
Piteå kbfd,Norrbottens
Piteå landsförsamling,Norrbottens
Piteå stadsförsamling,Norrbottens
Pjätteryd,Kronobergs
Porjus,Norrbottens
Porjus kbfd,Norrbottens
Puottaure kbfd,Norrbottens
Råbelöv,Kristianstads
Råby-Rekarne,Södermanlands
Råby-Rönö,Södermanlands
Rackeby,Skaraborgs
Råda,Västra Götalands
Råda,Skaraborgs
Rådene,Skaraborgs
Rådmansö,Stockholms
Råggärd,Älvsborgs
Ragunda,Jämtlands
Rakered,Östergötlands
Rällen,Västra Götalands
Ramdala,Blekinge
Ramkvilla,Jönköpings
Rämmen,Värmlands
Ramnäs,Västmanlands
Ramsåsa,Kristianstads
Ramsberg,Örebro
Ramsele,Västernorrlands
Ramsjö,Gävleborgs
Ramsta,Uppsala
Ramundeboda,Örebro
Råneå,Norrbottens
Råneå nedre kbfd,Norrbottens
Råneå övre kbfd,Norrbottens
Räng,Skåne
Rångedala,Älvsborgs
Rännelanda,Älvsborgs
Ränneslöv,Hallands
Rånnum,Älvsborgs
Ransäter,Värmlands
Ransberg,Skaraborgs
Rappestad,Östergötlands
Räpplinge,Kalmar
Rasbo,Uppsala
Rasbokil,Uppsala
Råsunda,Stockholms
Rätan,Jämtlands
Rättvik,Dalarnas
Raus,Skåne
Rävinge,Hallands
Ravlunda,Kristianstads
Rebbelberga,Kristianstads
Redslared,Älvsborgs
Reftele,Jönköpings
Regna,Östergötlands
Regumatorp,Skaraborgs
Rejmyra,Östergötlands
Remmarlöv,Skåne
Remmene,Älvsborgs
Rengsjö,Gävleborgs
Resele,Västernorrlands
Reslöv,Skåne
Resmo,Kalmar
Resteröd,Västra Götalands
Resville,Skaraborgs
Revesjö,Älvsborgs
Revinge,Skåne
Revsund,Jämtlands
Riala,Stockholms
Riddarholmen,Stockholms
Rimbo,Stockholms
Ringamåla,Blekinge
Ringarum,Östergötlands
Ringarums kbfd,Östergötlands
Ringestena,Älvsborgs
Rinkaby,Kristianstads
Rinkaby,Örebro
Rinna,Östergötlands
Ripsa,Södermanlands
Risbäck,Västerbottens
Riseberga,Kristianstads
Risekatslösa,Skåne
Risinge,Östergötlands
Risinge kbfd,Östergötlands
Rö,Stockholms
Roasjö,Älvsborgs
Robertsfors,Västerbottens
Rödbo,Västra Götalands
Röddinge,Skåne
Rödeby,Blekinge
Rödeby norra kbfd,Blekinge
Rödeby södra kbfd,Blekinge
Rödene,Älvsborgs
Rödön,Jämtlands
Rogberga,Jönköpings
Rogslösa,Östergötlands
Rogsta,Gävleborgs
Rök,Östergötlands
Röke,Kristianstads
Rölanda,Älvsborgs
Rolfstorp,Hallands
Roma,Gotlands
Romelanda,Västra Götalands
Romfartuna,Västmanlands
Rommele,Älvsborgs
Rone,Gotlands
Rönnäng,Västra Götalands
Ronneby,Blekinge
Ronneby kbfd,Blekinge
Ronneby landsförsamling,Blekinge
Rönnöfors kbfd,Jämtlands
Rönö,Östergötlands
Röra,Västra Götalands
Rörbäcksnäs kbfd,Dalarnas
Rörum,Kristianstads
Roslags-Bro,Stockholms
Roslags-Kulla,Stockholms
Röstånga,Skåne
Rudskoga,Värmlands
Rumskulla,Kalmar
Runsten,Kalmar
Runtuna,Södermanlands
Rute,Gotlands
Rya,Kristianstads
Rycka,Skaraborgs
Ryd,Skaraborgs
Ryda,Skaraborgs
Rydaholm,Jönköpings
Rydöbruk,Hallands
Rysk-grekiska,Stockholms
Ryssby,Kronobergs
Ryssby,Kalmar
Rystad,Östergötlands
Rytterne,Västmanlands
Sabbatsbergs fattighus,Stockholms
Säbrå,Västernorrlands
Säby,Skåne
Säby,Västmanlands
Säby,Jönköpings
Säckestad,Skaraborgs
Säffle,Värmlands
Säfsnäs,Dalarnas
Sal,Skaraborgs
Sala,Västmanlands
Sala landsförsamling,Västmanlands
Saleby,Skaraborgs
Saleby,Skaraborgs
Salem,Stockholms
Salem,Skaraborgs
Sällstorp,Hallands
Saltsjöbaden,Stockholms
Sanda,Gotlands
Sandarne,Gävleborgs
Sandby,Kalmar
Sandhem,Skaraborgs
Sandhult,Älvsborgs
Sandvik,Jönköpings
Sandviken,Gävleborgs
Sånga,Stockholms
Sånga,Västernorrlands
Sankta Birgitta,Kalmar
Sankta Birgitta,Kalmar
Sankta Eugenia,Stockholms
Sankta Maria,Skaraborgs
Sankta Maria magle,Skåne
Sankta Maria minor,Skåne
Sankt Andreas,Skåne
Sankt Anna,Östergötlands
Sankt Botulf,Skåne
Sankt Clemens,Skåne
Sankt Clemens,Skåne
Sankt Clemens,Gotlands
Sankt Drotten,Skåne
Sankt Drotten,Gotlands
Sankt Erik,Stockholms
Sankt Godehard,Skåne
Sankt Göran,Stockholms
Sankt Hans,Gotlands
Sankt Ibb,Skåne
Sankt Jakob,Skåne
Sankt Johannes,Skåne
Sankt Johannes,Skåne
Sankt Katarinae kapell,Skaraborgs
Sankt Lars,Skaraborgs
Sankt Lars,Gotlands
Sankt Laurentii,Västmanlands
Sankt Laurentii,Östergötlands
Sankt llian,Västmanlands
Sankt llian,Östergötlands
Sankt Måns,Skåne
Sankt Mariae kapell,Skaraborgs
Sankt Mårten,Skåne
Sankt Martin,Östergötlands
Sankt Mikael,Stockholms
Sankt Mikael,Skåne
Sankt Mikael,Gotlands
Sankt Nicolai,Skåne
Sankt Nicolai,Skåne
Sankt Nicolai,Stockholms
Sankt Nicolai,Södermanlands
Sankt Nikolai,Hallands
Sankt Nikolai,Skaraborgs
Sankt Nikolai,Stockholms
Sankt Nikolai,Västmanlands
Sankt Olai,Skåne
Sankt Olof,Kristianstads
Sankt Olof,Skåne
Sankt Olof,Älvsborgs
Sankt Olof,Stockholms
Sankt Olof,Västmanlands
Sankt Olof,Uppsala
Sankt Olof,Gotlands
Sankt Paul,Skåne
Sankt Peder,Älvsborgs
Sankt Per,Skaraborgs
Sankt Per,Stockholms
Sankt Per,Uppsala
Sankt Per,Östergötlands
Sankt Per,Gotlands
Sankt Peter,Skåne
Sankt Peters kloster,Skåne
Sankt Peter vid Bredgatan,Skåne
Sankt Petri lille,Skåne
Sankt Sigfrid,Kalmar
Sankt Stefan,Skåne
Sankt Tome,Skåne
Sanna,Jönköpings
Sanne,Västra Götalands
Särestad,Skaraborgs
Saritslöv,Skåne
Särna,Dalarnas
Särslöv,Skåne
Säter,Skaraborgs
Säter,Dalarnas
Säter,Dalarnas
Säterbo,Västmanlands
Säterbo kbfd,Västmanlands
Säters landsförsamling,Dalarnas
Sätila,Älvsborgs
Sättersta,Södermanlands
Sättna,Västernorrlands
Sätuna,Skaraborgs
Sävar,Västerbottens
Sävare,Skaraborgs
Sävars nedre kbfd,Västerbottens
Sävars övre kbfd,Västerbottens
Säve,Västra Götalands
Sävedalen,Västra Götalands
Sävedalens kbfd,Västra Götalands
Sävsjö,Jönköpings
Saxnäs kbfd,Västerbottens
Saxtorp,Skåne
Segersta,Gävleborgs
Segerstad,Skaraborgs
Segerstad,Värmlands
Segerstad,Kalmar
Seglora,Älvsborgs
Selånger,Västernorrlands
Selö,Södermanlands
Senäte,Skaraborgs
Serafimerlasarettet,Stockholms
Seskarö kbfd,Norrbottens
Sevalla,Västmanlands
Sexdrega,Älvsborgs
Sibbarp,Hallands
Sidensjö,Västernorrlands
Siene,Älvsborgs
Sigtuna,Stockholms
Sigtuna ryska,Stockholms
Sil,Skaraborgs
Silbodal,Värmlands
Silbojokk,Norrbottens
Siljansnäs,Dalarnas
Sillerud,Värmlands
Sillhövda,Blekinge
Silte,Gotlands
Silvåkra,Skåne
Silvberg,Dalarnas
Simlinge,Skåne
Simonstorp,Östergötlands
Simris,Kristianstads
Simrishamn,Kristianstads
Simtuna,Uppsala
Singö,Stockholms
Sireköpinge,Skåne
Själevad,Västernorrlands
Sjögerås,Skaraborgs
Sjogerstad,Skaraborgs
Sjögestad,Östergötlands
Sjonhem,Gotlands
Sjörup,Skåne
Sjösås,Kronobergs
Sjötofta,Älvsborgs
Skå,Stockholms
Skabersjö,Skåne
Skäfthammar,Uppsala
Skaftö,Västra Götalands
Skagen,Skaraborgs
Skagershult,Örebro
Skållerud,Älvsborgs
Skällinge,Hallands
Skallmeja,Skaraborgs
Skallsjö,Älvsborgs
Skällvik,Östergötlands
Skalunda,Skaraborgs
Skälvum,Skaraborgs
Skånela,Stockholms
Skånes-Fagerhult,Kristianstads
Skånings-Åsaka,Skaraborgs
Skänninge,Östergötlands
Skanör,Skåne
Skånska trängkåren,Kristianstads
Skara,Skaraborgs
Skara domkyrkoförsamling,Skaraborgs
Skara hospitalsförsamling,Skaraborgs
Skara landsförsamling,Skaraborgs
Skara stadsförsamling,Skaraborgs
Skärbäck,Jönköpings
Skårby,Skåne
Skärholmen,Stockholms
Skarhult,Skåne
Skärkind,Östergötlands
Skarpnäck,Stockholms
Skarstad,Skaraborgs
Skärstad,Jönköpings
Skartofta,Skåne
Skärv,Skaraborgs
Skärvum,Skaraborgs
Skatelöv,Kronobergs
Skattunge,Dalarnas
Skeby,Skaraborgs
Skeda,Östergötlands
Skede,Jönköpings
Skederid,Stockholms
Skedevi,Östergötlands
Skedevi norra kyrkobokföringsområde,Östergötlands
Skedevi södra kyrkobokföringsområde,Östergötlands
Skee,Västra Götalands
Skee kbfd,Västra Götalands
Skeglinge,Skåne
Skegrie,Skåne
Skellefteå,Västerbottens
Skellefteå kbfd,Västerbottens
Skellefteå landsförsamling,Västerbottens
Skellefteå landsförsamlings kbfd,Västerbottens
Skellefteå Sankt Olov,Västerbottens
Skellefteå Sankt Örjan,Västerbottens
Skelleftehamns kbfd,Västerbottens
Skene kbfd,Älvsborgs
Skephult,Älvsborgs
Skepparslöv,Kristianstads
Skepperstad,Jönköpings
Skepplanda,Älvsborgs
Skeppsås,Östergötlands
Skeppsholm,Stockholms
Skepptuna,Stockholms
Skillingmark,Värmlands
Skinnskatteberg,Västmanlands
Skirö,Jönköpings
Skivarp,Skåne
Skofteby,Skaraborgs
Skog,Gävleborgs
Skog,Västernorrlands
Skoghalls kbfd,Värmlands
Skogsbygden,Älvsborgs
Skogslyckan,Kronobergs
Skogs-Tibble,Uppsala
Skokloster,Uppsala
Sköldinge,Södermanlands
Sköllersta,Örebro
Skölvene,Älvsborgs
Skön,Västernorrlands
Skönberga,Östergötlands
Skönsmon,Västernorrlands
Skorped,Västernorrlands
Skörstorp,Skaraborgs
Skövde,Skaraborgs
Skövde landsförsamling,Skaraborgs
Skrea,Hallands
Skredsvik,Västra Götalands
Skultuna,Västmanlands
Skummeslöv,Hallands
Skurup,Skåne
Skutskär,Uppsala
Skuttunge,Uppsala
Slädene,Skaraborgs
Slågarp,Skåne
Slaka,Östergötlands
Släp,Hallands
Slättåkra,Hallands
Slätthög,Kronobergs
Slimminge,Skåne
Slöinge,Hallands
Slöta,Skaraborgs
Slottsstaden,Skåne
Smålands artilleriregemente,Jönköpings
Smedby,Skaraborgs
Smedby,Kalmar
Smedstorp,Kristianstads
Smögen,Västra Götalands
Smula,Skaraborgs
Snårestad,Skåne
Snavlunda,Örebro
Snöstorp,Hallands
Söderåkra,Kalmar
Söderåkra norra kbfd,Kalmar
Söderåkra södra kbfd,Kalmar
Söderala,Gävleborgs
Söderbärke,Dalarnas
Söderby-Karl,Stockholms
Söderfors,Uppsala
Söderhamn,Gävleborgs
Södertälje,Stockholms
Södervidinge,Skåne
Södra Åby,Skåne
Södra Åkarp,Skåne
Södra Åsarp,Älvsborgs
Södra Åsum,Skåne
Södra bataljonsförsamlingen,Stockholms
Södra Bergnäs kbfd,Norrbottens
Södra Björke,Älvsborgs
Södra Fågelås,Skaraborgs
Södra Finnskoga,Värmlands
Södra Härene,Älvsborgs
Södra Hestra,Jönköpings
Södra Kedum,Skaraborgs
Södra Korrektionsinrättningen,Stockholms
Södra Kyrketorp,Skaraborgs
Södra Ljunga,Kronobergs
Södra Ljusterö,Stockholms
Södra Lundby,Skaraborgs
Södra Mellby,Kristianstads
Södra Möckleby,Kalmar
Södra Råda,Skaraborgs
Södra Rörum,Skåne
Södra Säm,Älvsborgs
Södra Sandby,Skåne
Södra Sandsjö,Kronobergs
Södra Solberga,Jönköpings
Södra Unnaryd,Hallands
Södra Vånga,Älvsborgs
Södra Vi,Kalmar
Södra Ving,Älvsborgs
Sofia,Stockholms
Sofielund,Skåne
Solberga,Skåne
Solberga,Västra Götalands
Solberga,Skaraborgs
Solbergs kbfd,Västernorrlands
Sollefteå,Västernorrlands
Sollentuna,Stockholms
Sollerön,Dalarnas
Solna,Stockholms
Sölvesborg,Blekinge
Sölvesborgs landsförsamling,Blekinge
Söndrum,Hallands
Söne,Skaraborgs
Söraby,Kronobergs
Sörby,Kristianstads
Sörby,Skaraborgs
Sörby,Östergötlands
Söromsjöns kbfd,Dalarnas
Sorsele,Västerbottens
Sorsele kbfd,Västerbottens
Sorunda,Södermanlands
Sövde,Skåne
Sövestad,Skåne
Spånga,Stockholms
Spånga kbfd,Stockholms
Spannarp,Hallands
Spanska,Stockholms
Sparlösa,Skaraborgs
Sparrsätra,Uppsala
Spekeröd,Västra Götalands
Spelvik,Södermanlands
Spinnhuset,Stockholms
Spjutstorp,Kristianstads
Sproge,Gotlands
Stacketorp,Skaraborgs
Staffanstorp,Skåne
Stafsinge,Hallands
Stala,Västra Götalands
Stamnared,Hallands
Stånga,Gotlands
Stångby,Skåne
Starby,Kristianstads
Starrkärr,Älvsborgs
Starrkärrs kbfd,Älvsborgs
Stavby,Uppsala
Stävie,Skåne
Stavnäs,Värmlands
Stehag,Skåne
Sten,Östergötlands
Stenåsa,Kalmar
Stenberga,Jönköpings
Stenbrohult,Kronobergs
Steneby,Älvsborgs
Stenestad,Skåne
Stengårdshult,Jönköpings
Steninge,Hallands
Stenkumla,Gotlands
Stenkvista,Södermanlands
Stenkyrka,Västra Götalands
Stenkyrka,Gotlands
Stensele,Västerbottens
Stensele kbfd,Västerbottens
Stensjön,Västra Götalands
Stenstorp,Skaraborgs
Stenum,Skaraborgs
Stiby,Kristianstads
Stiftelsen Konung Oscar I,Stockholms
Stigsjö,Västernorrlands
Stigtomta,Södermanlands
Stjärnorp,Östergötlands
Stjärnsund,Dalarnas
Stjärnsunds kbfd,Dalarnas
Stoby,Kristianstads
Stockaryd,Jönköpings
Stockholms domkyrkoförsamling,Stockholms
Stockholms hospital,Stockholms
Stockholms stads kronohäkte å Långholmen,Stockholms
Stockholms stads militärförsörjningsinrättning,Stockholms
Stockholms stads militärkår,Stockholms
Stockholms stads norra kronohäkte för kvinnor,Stockholms
Stockholms stads och läns kurhus,Stockholms
Stockholms stads rannsakningsfängelse,Stockholms
Stockholms stads södra kronohäkte för män,Stockholms
Stocksund,Stockholms
Stöde,Västernorrlands
Stora Åby,Östergötlands
Stora Hammar,Skåne
Stora Harrie,Skåne
Stora Herrestad,Skåne
Stora Kil,Värmlands
Stora Köpinge,Skåne
Stora Kopparberg,Dalarnas
Stora Kopparbergs kbfd,Dalarnas
Stora Lundby,Älvsborgs
Stora Malm,Södermanlands
Stora Mellby,Älvsborgs
Stora Mellösa,Örebro
Stora Råby,Skåne
Stora Skedvi,Dalarnas
Stora Slågarp,Skåne
Stora Tuna,Dalarnas
Stora Tuna kbfd,Dalarnas
Storfors,Värmlands
Storfors kbfd,Värmlands
Storkyrkoförsamlingen,Stockholms
Storsjö,Jämtlands
Strå,Östergötlands
Straff- och arbetsfängelset,Östergötlands
Straff- och arbetsfängelset å Långholmen och Stockholms stads södra kronohäkte för män,Stockholms
Straff- och arbetsfängelset å Norrmalm,Stockholms
Strängnäs domkyrkoförsamling,Södermanlands
Strängnäs landsförsamling,Södermanlands
Strängnäs stadsförsamling,Södermanlands
Strängsered,Älvsborgs
Stråvalla,Hallands
Strö,Skaraborgs
Ström,Jämtlands
Strömstad,Västra Götalands
Strövelstorp,Kristianstads
Stugun,Jämtlands
Sturkö,Blekinge
Styra,Östergötlands
Styrnäs,Västernorrlands
Styrsö,Västra Götalands
Styrstad,Östergötlands
Sund,Östergötlands
Sundals-Ryr,Älvsborgs
Sundborn,Dalarnas
Sundby,Södermanlands
Sundbyberg,Stockholms
Sundre,Gotlands
Sundsjö,Jämtlands
Sundsvall,Västernorrlands
Sundsvalls Gustav Adolf,Västernorrlands
Sundsvalls mosaiska,Västernorrlands
Sunne,Värmlands
Sunne,Jämtlands
Sunnemo,Värmlands
Sunnersberg,Skaraborgs
Suntak,Skaraborgs
Suntetorp,Skaraborgs
Sura,Västmanlands
Surteby-Kattunga,Älvsborgs
Svabensverk,Gävleborgs
Svalöv,Skåne
Sväm,Östergötlands
Svänasjö,Älvsborgs
Svanshals,Östergötlands
Svanskog,Värmlands
Svanstein,Norrbottens
Svansteins kbfd,Norrbottens
Svärdsjö,Dalarnas
Svärta,Södermanlands
Svarteborg,Västra Götalands
Svartnäs,Dalarnas
Svartrå,Hallands
Svarttorp,Jönköpings
Svartvik,Västernorrlands
Svea artilleriregemente,Stockholms
Svea ingenjörkår,Stockholms
Svea livgarde,Stockholms
Svea trängkår,Örebro
Svedala,Skåne
Sveg,Jämtlands
Svenarum,Jönköpings
Sveneby,Skaraborgs
Svenljunga,Älvsborgs
Svenneby,Västra Götalands
Svennevad,Örebro
Svenska gardesregementet,Stockholms
Svensköp,Skåne
Svenstorp,Skåne
Sventorp,Skaraborgs
Svinhult,Östergötlands
Svinnegarn,Uppsala
Sya,Östergötlands
Synnerål,Skaraborgs
Synnerby,Skaraborgs
Täby,Stockholms
Täby,Örebro
Täby,Östergötlands
Tådene,Skaraborgs
Tämta,Älvsborgs
Täng,Skaraborgs
Tångeråsa,Örebro
Tannåker,Kronobergs
Tännäs,Jämtlands
Tännäs lappförsamling,Jämtlands
Tånnö,Jönköpings
Tanum,Västra Götalands
Tanums kyrkoområde,Västra Götalands
Tärby,Älvsborgs
Tärendö,Norrbottens
Tärna,Västmanlands
Tärna,Västerbottens
Tarsled,Älvsborgs
Tåsjö,Jämtlands
Tåssjö,Kristianstads
Tåstarp,Kristianstads
Tävelsås,Kronobergs
Tävelsås med Tofta,Kronobergs
Tavelsjö,Västerbottens
Tavelsjö kbfd,Västerbottens
Taxinge,Stockholms
Teda,Uppsala
Teg,Västerbottens
Tegelsmora,Uppsala
Tegnaby,Kronobergs
Tegneby,Västra Götalands
Tengene,Skaraborgs
Tensta,Uppsala
Tiarp,Skaraborgs
Tiberg,Skaraborgs
Tibro,Skaraborgs
Tidaholm,Skaraborgs
Tidavad,Skaraborgs
Tidersrum,Östergötlands
Tierp,Uppsala
Tillberga,Västmanlands
Tillinge,Uppsala
Timmele,Älvsborgs
Timmersdala,Skaraborgs
Timrå,Västernorrlands
Tingsås,Kronobergs
Tingstad,Östergötlands
Tingstäde,Gotlands
Tirup,Skåne
Tisselskog,Älvsborgs
Tissered,Älvsborgs
Tived,Örebro
Tjällmo,Östergötlands
Tjärby,Hallands
Tjärnö,Västra Götalands
Tjärstad,Östergötlands
Tjörnarp,Skåne
Tjureda,Kronobergs
Tjurkö,Blekinge
Tjustorp,Skåne
Toarp,Älvsborgs
Töcksmark,Värmlands
Tofta,Skåne
Tofta,Kronobergs
Tofta,Gotlands
Töftedal,Älvsborgs
Tofteryd,Jönköpings
Tolånga,Skåne
Tolfta,Uppsala
Tolg,Kronobergs
Töllsjö,Älvsborgs
Tölö,Hallands
Tomelilla,Kristianstads
Tönnersjö,Hallands
Torbjörntorp,Skaraborgs
Töre,Norrbottens
Töreboda,Skaraborgs
Töre kbfd,Norrbottens
Torekov,Kristianstads
Torestorp,Älvsborgs
Toresund,Södermanlands
Torhamn,Blekinge
Törnevalla,Östergötlands
Törnsfall,Kalmar
Torö,Stockholms
Torp,Västra Götalands
Torp,Älvsborgs
Torp,Västernorrlands
Torpa,Hallands
Torpa,Älvsborgs
Torpa,Västmanlands
Torpa,Östergötlands
Torpa,Kronobergs
Törringe,Skåne
Torrlösa,Skåne
Torrskog,Älvsborgs
Torrum,Blekinge
Torsåker,Gävleborgs
Torsåker,Västernorrlands
Torsåker,Södermanlands
Torsång,Dalarnas
Torsås,Kalmar
Torsby,Västra Götalands
Torset,Kronobergs
Torshälla,Södermanlands
Torskinge,Jönköpings
Torslanda,Västra Götalands
Torslunda,Kalmar
Torsö,Skaraborgs
Torstuna,Uppsala
Torsvi,Uppsala
Tortuna,Västmanlands
Torup,Hallands
Tose,Västra Götalands
Tösse med Tydje,Älvsborgs
Tossene,Västra Götalands
Tostared,Älvsborgs
Tosterup,Kristianstads
Tottarp,Skåne
Töve,Älvsborgs
Träkumla,Gotlands
Tranås,Kristianstads
Träne,Kristianstads
Tranemo,Älvsborgs
Trångsund,Stockholms
Trankil,Värmlands
Transtrand,Dalarnas
Tranum,Skaraborgs
Traryd,Kronobergs
Träslöv,Hallands
Trässberg,Skaraborgs
Trästena,Skaraborgs
Tråvad,Skaraborgs
Trävattna,Skaraborgs
Trehörna,Östergötlands
Trehörningsjö,Västernorrlands
Trelleborg,Skåne
Trelleborgs landsförsamling,Skåne
Trökörna,Skaraborgs
Trolle-Ljungby,Kristianstads
Trollenäs,Skåne
Trollhättan,Älvsborgs
Trönninge,Hallands
Trönö,Gävleborgs
Trosa stadsförsamling,Södermanlands
Trosa-Vagnhärad,Södermanlands
Tryde,Kristianstads
Tryserum,Östergötlands
Tullstorp,Skåne
Tumba,Stockholms
Tumba kbfd,Stockholms
Tumberg,Älvsborgs
Tumbo,Södermanlands
Tun,Skaraborgs
Tuna,Västernorrlands
Tuna,Uppsala
Tuna,Södermanlands
Tuna,Kalmar
Tunaberg,Södermanlands
Tunbyholm,Kristianstads
Tunge,Älvsborgs
Turinge,Stockholms
Tutaryd,Kronobergs
Tuve,Västra Götalands
Tvååker,Hallands
Tvärred,Älvsborgs
Två systrar,Kalmar
Tveta,Värmlands
Tveta,Stockholms
Tveta,Kalmar
Tving,Blekinge
Tydje,Älvsborgs
Tygelsjö,Skåne
Tyggestorp,Älvsborgs
